OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE
GLOBALSTAR M057,1999-058A,2024-12-31T15:45:52.383456,12.24806039,0.0002649,51.9982,103.6475,54.6485,305.4612,0,U,25943,999,14640,0.00028465,-6.2e-07,0.0,7949.813895518413,Globalstar
QB50P2,2014-033Y,2024-12-31T20:01:45.882048,15.04226241,0.0009018,98.0264,325.4761,168.2118,191.932,0,U,40032,999,57232,0.0013245,0.00018397,0.0,6932.018837937602,CubeSat
MONITOR-4 (RS57S),2023-091S,2024-12-31T22:07:06.248640,15.1456582,0.0016219,97.5865,58.0374,154.0926,206.1121,0,U,57182,999,8336,0.0011063,0.00020445,0.0,6900.434008247894,Amateur Radio
SITRO-AIS 9 (SHCHUKIN),2023-091AM,2024-12-31T22:56:04.344576,15.18193701,0.0011379,97.5856,59.7611,143.44,216.7613,0,U,57201,999,8348,0.0014107,0.00028911,0.0,6889.436757931628,CubeSat
SNAP-3 JIMI,2015-058M,2024-12-31T20:41:52.176480,14.92817304,0.0167748,64.769,93.5714,246.9146,111.4209,0,U,40975,999,3447,0.0017478,0.00023812,0.0,6967.292888291544,CubeSat
GRBBETA,2024-128C,2025-01-01T04:08:58.604928,15.0015615,0.0033663,61.9938,274.3611,19.3577,340.8782,0,U,60237,999,2626,0.0010683,0.00013391,0.0,6944.551402147658,CubeSat
GLOBALSTAR M041,1999-012B,2025-01-01T01:55:30.116352,11.96667643,0.0002621,52.0016,261.5333,11.1373,348.9521,0,U,25650,999,15852,0.0013406,1.9e-07,0.0,8073.951616054139,Globalstar
GLOBALSTAR M088,2011-033B,2024-12-31T16:42:00.615744,12.6226675,7.39e-05,51.9732,99.7931,129.3231,21.081,0,U,37740,999,62124,5.0384e-05,-9.5e-07,0.0,7791.739296257596,Globalstar
SONATE,2019-038Q,2025-01-01T01:51:34.412832,15.52589744,0.0013798,97.7116,12.4352,109.9736,250.3003,0,U,44400,999,30457,0.0012865,0.00079927,0.0,6787.305008429758,CubeSat
GLOBALSTAR M006,1998-023B,2024-12-31T20:42:32.800896,11.58170956,0.0003379,51.9941,272.7057,148.848,246.0538,0,U,25307,999,19744,0.0008618,-3.4e-07,0.0,8251.88933052985,Globalstar
IRIDIUM 155,2018-061E,2024-12-31T15:18:21.218976,14.34226868,0.0001765,86.3964,279.2076,86.6897,273.4501,0,U,43573,999,33702,0.00035899,1.025e-05,0.0,7155.773825961759,Iridium Next
CANX-5,2014-034D,2024-12-31T20:25:03.880704,14.79451101,0.0012039,98.3764,209.8931,281.3989,78.5868,0,U,40056,999,55657,0.00064282,4.75e-05,0.0,7009.194277812738,CubeSat
NETSAT-3,2020-068V,2024-12-31T15:50:59.659008,15.22447064,0.0010117,97.8283,329.74,57.3725,302.8485,0,U,46505,999,23412,0.0011768,0.00027264,0.0,6876.599119771099,CubeSat
